id,PositionTitle,Designation,Agency,Locations,VacancyType,Vacancy6MonthsOrLess,EmploymentCategory,NumberOfVacancies,NumberOfVacancies Several ,NumberOfApplicants,NumberOfSuccessfulApplicants
162422,Senior District Weed Officer,PROFESSIONAL 2,"Department of Environment, Parks and Water Security",Katherine,Fixed (Temporary) - Full Time,,"Environment, Natural Resources and Conservation, Science",1,,3,1
162426,School Psychologist,PROFESSIONAL 3,Department of Education,Palmerston,Fixed (Temporary) - Full Time,,Education and Training,1,,0,0
162432,Project Officer Training,ADMINISTRATIVE OFFICER 5,Department of Corporate and Digital Development ,"Darwin, Palmerston",Ongoing (Permanent) - Full Time,,"Payroll, Administration and Business Services",1,,13,1
162440,Warehouse Officer South,TGEN BAND 1 ADMIN CORPORATE SERVICES,Territory Generation,Alice Springs,Ongoing (Permanent) - Full Time,,Administration and Business Services,1,,10,1
162460,Team Leader,ADMINISTRATIVE OFFICER 7,Department of the Attorney-General and Justice,Darwin,Ongoing (Permanent) - Full Time,,"Probation and Parole Officer, Administration and Business Services",1,,15,2
162464,Wellbeing and Behaviour Advisor,SENIOR TEACHER 1,Department of Education,Alice Springs,Fixed (Temporary) - Full Time,,Education and Training,1,,7,1
162465,Senior Teacher,SENIOR TEACHER 1,Department of Education,Minyerri,Ongoing (Permanent) - Full Time,,Education and Training,1,,5,1
162466,Speech Pathologist,PROFESSIONAL 2,Department of Health,Darwin,Fixed (Temporary) - Full Time,YES,"Allied Health and Health Care Services, Professional",1,,3,1
162476,Disability Support Worker,PHYSICAL 5,Department of Health,Alice Springs,Fixed (Temporary) - Full Time,,Aged and Disability Care,24,,71,31
162482,Patient Care Assistant,PHYSICAL 3,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,Allied Health and Health Care Services,,Several,50,3
162490,Stores/Inventory Officer,ADMINISTRATIVE OFFICER 3,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,Administration and Business Services,5,,26,5
162492,Business Manager,ADMINISTRATIVE OFFICER 6,Department of Education,Darwin,Ongoing (Permanent) - Full Time,,Administration and Business Services,1,,24,1
162493,Supply Officer ,ADMINISTRATIVE OFFICER 4,Department of Health,Darwin,Fixed (Temporary) - Full Time,,Administration and Business Services,1,,28,0
162494,Preventable Chronic Conditions Educator,NURSE LEVEL 4 RDO,Department of Health,"Alice Springs, Tennant Creek",Ongoing (Permanent) - Full Time,,Nursing and Midwifery,2,,4,3
162496,Diabetes Educator ,NURSE LEVEL 5 RDO,Department of Health,Alice Springs,Fixed (Temporary) - Full Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",1,,1,1
162498,Workforce Development Officer,ADMINISTRATIVE OFFICER 5,Department of Health,Alice Springs,Fixed (Temporary) - Full Time,,"Administration and Business Services, Allied Health and Health Care Services",1,,5,1
162504,Early Childhood Integration Leader,SENIOR ADMINISTRATIVE OFFICER 1,Department of Education,Alice Springs,Fixed (Temporary) - Full Time,YES,Education and Training,1,,4,1
162509,International Public Relations and Media Manager,ADMINISTRATIVE OFFICER 7,"Department of Tourism, Sport and Culture",Darwin,Ongoing (Permanent) - Full Time,,"Communication, Media and Public Relations, Administration and Business Services",1,,6,1
162518,Home Liaison Officer,ADMINISTRATIVE OFFICER 4 96%,Department of Education,"Darwin, Palmerston",Fixed (Temporary) - Full Time,,"Administration and Business Services, Education and Training",1,,34,0
162520,Assistant Principal,SENIOR TEACHER 4,Department of Education,Darwin,Fixed (Temporary) - Full Time,,Education and Training,1,,4,1
162532,Project Officer,ADMINISTRATIVE OFFICER 5,"Department of Territory Families, Housing and Communities",Darwin,Fixed (Temporary) - Full Time,YES,"Administration and Business Services, Program and Project Management, Community Services",1,,14,0
162537,Front Office Manager,ADMINISTRATIVE OFFICER 4,Department of Education,Darwin,Fixed (Temporary) - Full Time,YES,Administration and Business Services,1,,7,0
162540,School Improvement Manager,ADMINISTRATIVE OFFICER 6,Department of Education,Palmerston,Ongoing (Permanent) - Full Time,,Administration and Business Services,1,,13,1
162541,Library Technician,ADMINISTRATIVE OFFICER 3 96%,Department of Education,Palmerston,Fixed (Temporary) - Full Time,,"Administration and Business Services, Education and Training, Information and Records Management",1,,26,1
162545,"Assistant Director, Safety Health and Recovery",SENIOR ADMINISTRATIVE OFFICER 1,"NT Police, Fire and Emergency Services",Darwin,Ongoing (Permanent) - Full Time,,"Human Resources and Work Health Safety, Administration and Business Services",1,,10,0
162546,Assistant Principal,SENIOR TEACHER 3,Department of Education,Katherine,Ongoing (Permanent) - Full Time,,"Education and Training, Executive and Senior Management",1,,3,1
162547,Drilling Supervisor,TECHNICAL 4,"Department of Environment, Parks and Water Security",Alice Springs,Ongoing (Permanent) - Full Time,,"Trades, Maintenance and Services",1,,2,0
162548,Driller,TECHNICAL 3,"Department of Environment, Parks and Water Security",Darwin,Ongoing (Permanent) - Full Time,,"Trades, Maintenance and Services",1,,3,0
162550,Senior Revenue Officer,ADMINISTRATIVE OFFICER 6,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Accounting and Finance, Administration and Business Services",1,,5,1
162558,Student Wellbeing and Inclusion Coordinator,SENIOR TEACHER 4,Department of Education,Darwin,Fixed (Temporary) - Full Time,YES,Education and Training,1,,1,0
162559,Principal Revenue Officer,ADMINISTRATIVE OFFICER 7,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Accounting and Finance, Administration and Business Services",1,,5,1
162561,Land Administration Officer,ADMINISTRATIVE OFFICER 5,"Department of Tourism, Sport and Culture",Darwin,Ongoing (Permanent) - Full Time,,"Tourism and Culture, Administration and Business Services",1,,23,0
162565,Information Technology Support Officer,ADMINISTRATIVE OFFICER 5,"Department of Industry, Tourism and Trade",Darwin,Ongoing (Permanent) - Full Time,,"Information and Communication Technology (ICT), Administration and Business Services",1,,31,1
162566,Drill Bore Test Assistant,TECHNICAL 2,"Department of Environment, Parks and Water Security",Alice Springs,Ongoing (Permanent) - Full Time,,"Trades, Maintenance and Services",1,,3,1
162568,Drill Bore Test Assistant,TECHNICAL 2,"Department of Environment, Parks and Water Security",Darwin,Ongoing (Permanent) - Full Time,,"Trades, Maintenance and Services",1,,13,1
162572,Senior Manager Legislation Services,SENIOR ADMINISTRATIVE OFFICER 1,Department of Education,Darwin,Fixed (Temporary) - Full Time,,"Education and Training, Administration and Business Services",1,,4,0
162579,STEM  Coordinator,SENIOR TEACHER 1,Department of Education,Darwin,Fixed (Temporary) - Full Time,,Education and Training,1,,3,0
162592,Events Coordinator,ADMINISTRATIVE OFFICER 5,Department of Trade Business and Innovation,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Communication, Media and Public Relations",1,,31,1
162598,Human Resource Consultant,ADMINISTRATIVE OFFICER 6,Department of Education,Darwin,Fixed (Temporary) - Full Time,,"Human Resources and Work Health Safety, Administration and Business Services",1,,23,1
162624,Maintenance Officer,PHYSICAL 2,Department of Education,Darwin,Fixed (Temporary) - Part Time,YES,"Trades, Maintenance and Services, Administration and Business Services",1,,5,1
162626,Corporate Receptionist,ADMINISTRATIVE OFFICER 4,Department of Education,Darwin,Fixed (Temporary) - Full Time,,"Administration and Business Services, Human Resources and Work Health Safety",1,,54,0
162638,Aboriginal Health Practitioner,ATP4 (CLOSED FOR NORMAL USE),Department of Health,Tennant Creek,Fixed (Temporary) - Full Time,YES,Allied Health and Health Care Services,1,,0,0
162661,Student Wellbeing and Inclusion Coordinator,SENIOR TEACHER 4,Department of Education,Darwin,Fixed (Temporary) - Full Time,YES,Education and Training,1,,4,1
162663,"Director, Planning and Housing Supply",SENIOR ADMINISTRATIVE OFFICER 2,"Department of Territory Families, Housing and Communities",Darwin,Fixed (Temporary) - Full Time,,"Executive and Senior Management, Administration and Business Services",1,,11,0
162664,Manager Infrastructure Projects ,SENIOR ADMINISTRATIVE OFFICER 1,"Department of Infrastructure, Planning and Logistics",Alice Springs,Ongoing (Permanent) - Full Time,,"Construction, Architecture and Design, Engineering, Executive and Senior Management, Program and Project Management, Administration and Business Services",1,,10,1
162665,Library and ICT Manager,ADMINISTRATIVE OFFICER 4,Department of Education,Darwin,Fixed (Temporary) - Full Time,,Administration and Business Services,1,,15,1
162666,Nurse Coordinator – Safety and Quality Manager,NURSE LEVEL 5 RDO,Department of Health,Palmerston,Ongoing (Permanent) - Full Time,,Nursing and Midwifery,1,,4,0
162668,Manager Capability Development Command,DISTRICT OFFICER FIRE SERVICE,"NT Police, Fire and Emergency Services",Darwin,Fixed (Temporary) - Full Time,,"Police, Fire and Emergency Workers",1,,0,0
162672,Senior Specialist Mental Health Worker ,PROFESSIONAL 3,Department of Health,Darwin,Fixed (Temporary) - Full Time,YES,Allied Health and Health Care Services,1,,3,1
162673,Graduate Speech Pathologist,PROFESSIONAL 1,Department of Health,Darwin,Fixed (Temporary) - Full Time,,"Allied Health and Health Care Services, Professional",1,,12,1
162674,Finance Officer,ADMINISTRATIVE OFFICER 4,Department of the Attorney-General and Justice,Alice Springs,Fixed (Temporary) - Full Time,YES,"Accounting and Finance, Administration and Business Services",1,,28,0
162682,Assistant Principal ,SENIOR TEACHER 4,Department of Education,Darwin,Ongoing (Permanent) - Full Time,,Education and Training,1,,6,1
162687,Male Health Coordinator ,ADMINISTRATIVE OFFICER 6,Department of Health,Alice Springs,Ongoing (Permanent) - Full Time,,"Allied Health and Health Care Services, Community Services, Administration and Business Services",1,,6,1
162694,Senior Human Resources Analyst,SENIOR ADMINISTRATIVE OFFICER 1,Department of Health,Darwin,Fixed (Temporary) - Full Time,YES,"Administration and Business Services, Human Resources and Work Health Safety",1,,5,0
162697,Human Resource Analyst,ADMINISTRATIVE OFFICER 7,Department of Health,Darwin,Fixed (Temporary) - Full Time,YES,Administration and Business Services,1,,9,1
162706,Director Category Management ,SENIOR ADMINISTRATIVE OFFICER 2,"Department of Territory Families, Housing and Communities",Darwin,Ongoing (Permanent) - Full Time,,"Executive and Senior Management, Procurement, Grants and Contract Management, Administration and Business Services",1,,14,1
162707,Trust Officer,ADMINISTRATIVE OFFICER 4,Department of the Attorney-General and Justice,Darwin,Ongoing (Permanent) - Full Time,,"Accounting and Finance, Administration and Business Services, Legal",1,,43,1
162713,Finance Officer,ADMINISTRATIVE OFFICER 5,Department of the Attorney-General and Justice,Darwin,Ongoing (Permanent) - Full Time,,"Accounting and Finance, Administration and Business Services, Legal",1,,42,0
162719,Occupational Therapist ,"PROFESSIONAL 1, PROFESSIONAL 2",Department of Health,"Darwin, Palmerston",Ongoing (Permanent) - Part Time,,"Allied Health and Health Care Services, Professional",1,,7,1
162720,"Midwife Education Specialist, Maternity ",NURSE LEVEL 4,Department of Health,Alice Springs,Ongoing (Permanent) - Part Time,,Nursing and Midwifery,1,,2,1
162725,Youth Justice Officer,ADMINISTRATIVE OFFICER 4,Territory Families,Alice Springs,Ongoing (Permanent) - Full Time,,"Prison Services, Probation and Parole Officer, Administration and Business Services",,Several,131,15
162727,Flexible Learning Teacher,SENIOR TEACHER 1,Department of Education,Katherine,Fixed (Temporary) - Full Time,,"Education and Training, Administration and Business Services",1,,2,0
162728,Executive Assistant ,ADMINISTRATIVE OFFICER 5 - BIITE,Batchelor Institute of Indigenous Tertiary Education,Batchelor,Fixed (Temporary) - Full Time,,Administration and Business Services,1,,0,0
162729,Occupational Therapist ,"PROFESSIONAL 1, PROFESSIONAL 2",Department of Health,"Darwin, Palmerston",Ongoing (Permanent) - Full Time,,"Allied Health and Health Care Services, Professional",1,,14,1
162730,Senior Trust Officer,ADMINISTRATIVE OFFICER 5,Department of the Attorney-General and Justice,Darwin,Ongoing (Permanent) - Full Time,,"Accounting and Finance, Administration and Business Services, Legal",,Several,22,2
162731,Case Manager ,PROFESSIONAL 3,Department of Health,Darwin,Fixed (Temporary) - Full Time,YES,"Allied Health and Health Care Services, Professional",1,,6,0
162735,Assistant Principal Senior Years,SENIOR TEACHER 4,Department of Education,Katherine,Fixed (Temporary) - Full Time,,Education and Training,1,,1,1
162739,Senior Environmental Officer,PROFESSIONAL 3,"Department of Environment, Parks and Water Security",Darwin,Ongoing (Permanent) - Full Time,,"Environment, Natural Resources and Conservation, Professional, Science",1,,12,1
162751,Finance Manager Remote Schools,ADMINISTRATIVE OFFICER 5,Department of Education,"Darwin, Palmerston",Ongoing (Permanent) - Full Time,,"Accounting and Finance, Administration and Business Services, Education and Training",1,,24,1
162753,School Financial Improvement  Manager ,SENIOR ADMINISTRATIVE OFFICER 1,Department of Education,Darwin,Ongoing (Permanent) - Full Time,,"Accounting and Finance, Administration and Business Services",1,,10,1
162755,School Financial Improvement  Manager ,SENIOR ADMINISTRATIVE OFFICER 1,Department of Education,Darwin,Ongoing (Permanent) - Full Time,,"Accounting and Finance, Administration and Business Services",1,,14,1
162756,Finance Manager Remote Schools,ADMINISTRATIVE OFFICER 5,Department of Education,"Darwin, Palmerston",Ongoing (Permanent) - Full Time,,Accounting and Finance,1,,32,1
162763,Relief Business Manager,ADMINISTRATIVE OFFICER 5,Department of Education,Darwin,Fixed (Temporary) - Full Time,,"Accounting and Finance, Administration and Business Services",1,,18,1
162765,Visitor Reception Officer,ADMINISTRATIVE OFFICER 3,Territory Families,Alice Springs,Ongoing (Permanent) - Full Time,,Administration and Business Services,1,,41,0
162773,"Executive Director, Digital Government",EXECUTIVE OFFICER 3 - EXECUTIVE CONTRACT,Department of Corporate and Digital Development ,Darwin,Fixed (Temporary) - Full Time,,"Executive and Senior Management, Information and Communication Technology (ICT)",1,,36,1
162777,Families as First Teachers Family Educator,SENIOR TEACHER 1,Department of Education,Ngukurr-Roper River,Fixed (Temporary) - Full Time,YES,"Community Services, Education and Training",1,,2,0
162780,Communications Officer,ADMINISTRATIVE OFFICER 5,Department of the Chief Minister and Cabinet,Darwin,Ongoing (Permanent) - Full Time,,"Communication, Media and Public Relations",1,,25,1
162785,Clinical Nurse Manager Patient Flow,NURSE LEVEL 6,Department of Health,"Darwin, Palmerston",Ongoing (Permanent) - Full Time,,"Nursing and Midwifery, Administration and Business Services",1,,2,0
162788,"Data Manager, Surveillance",ADMINISTRATIVE OFFICER 4,Department of Health,Darwin,Ongoing (Permanent) - Full Time,,Administration and Business Services,1,,31,1
162803,Information Officer,ADMINISTRATIVE OFFICER 6,"Department of Industry, Tourism and Trade",Darwin,Fixed (Temporary) - Full Time,YES,"Information and Records Management, Administration and Business Services",1,,10,1
162804,Primary Health Care Manager   ,NURSE LEVEL 5 RDO,Department of Health,Numbulwar,Fixed (Temporary) - Full Time,,"Nursing and Midwifery, Allied Health and Health Care Services, Medical",1,,1,1
162808,Ranger,TECHNICAL 2 - RDO,"Department of Tourism, Sport and Culture",Bullita,Ongoing (Permanent) - Full Time,,Tourism and Culture,1,,21,0
162810,Business Manager,ADMINISTRATIVE OFFICER 6,Department of Education,Katherine,Fixed (Temporary) - Full Time,YES,"Accounting and Finance, Administration and Business Services",1,,3,1
